Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Burrows In,Burrows Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
140,20,125,Gretchen,Evaul,female,39,CA,US,00:00:00,03:17:00,03:17:00,06:49:00,06:53:00,08:26:00,08:31:00,12:07:00,12:49:00,14:01:00,14:05:00,20:19:00,20:22:00,"","",27:08:00,27:08:00,"","","","","","","","","","","","",""
141,121,50,Scott,Brockmeier,male,53,FL,US,00:00:00,03:25:00,03:25:00,06:50:00,06:56:00,08:27:00,08:31:00,12:03:00,12:39:00,14:01:00,14:02:00,20:22:00,20:23:00,"","",27:52:00,27:52:00,"","","","","","","","","","","","",""
142,21,56,Susan,Gardner,female,51,NM,US,00:00:00,03:22:00,03:22:00,06:07:00,06:11:00,07:35:00,07:37:00,10:30:00,10:40:00,11:55:00,11:59:00,17:05:00,17:34:00,20:49:00,21:03:00,"","","","","","","","","","","","","","",""
143,122,3,Scott,Jaime,male,46,CO,US,00:00:00,02:03:00,02:03:00,03:47:00,03:47:00,04:45:00,04:46:00,06:54:00,06:59:00,07:51:00,07:51:00,10:47:00,10:47:00,"","","","","","","","","","","","","","","","",""
144,123,126,Ken,Farley,male,51,CA,US,00:00:00,02:33:00,02:33:00,04:52:00,04:54:00,06:07:00,06:08:00,08:43:00,08:52:00,10:01:00,10:03:00,14:17:00,14:17:00,"","","","","","","","","","","","","","","","",""
145,124,189,David,Williams,male,62,CA,US,00:00:00,02:59:00,02:59:00,05:54:00,05:57:00,07:16:00,07:18:00,09:53:00,10:05:00,11:15:00,11:20:00,16:47:00,16:47:00,"","","","","","","","","","","","","","","","",""
146,125,44,Paul,Schoenlaub,male,56,MO,US,00:00:00,02:47:00,02:47:00,05:38:00,05:43:00,07:17:00,07:19:00,10:14:00,10:43:00,"","",17:06:00,17:06:00,"","","","","","","","","","","","","","","","",""
147,126,163,Warren,Muldoon,male,58,CA,US,00:00:00,03:20:00,03:20:00,06:30:00,06:33:00,08:13:00,08:17:00,12:08:00,12:12:00,13:34:00,13:36:00,20:18:00,20:18:00,"","","","","","","","","","","","","","","","",""
148,22,106,Michelle,Bichsel,female,42,OH,US,00:00:00,03:16:00,03:16:00,07:14:00,07:17:00,08:59:00,09:07:00,12:35:00,12:56:00,14:31:00,14:31:00,"","","","","","","","","","","","","","","","","","",""
149,127,164,Tetsuro,Ogata,male,34,,JP,00:00:00,02:44:00,02:44:00,05:08:00,05:11:00,06:30:00,06:35:00,10:10:00,11:00:00,"","","","","","","","","","","","","","","","","","","","",""
150,128,187,Hans Dieter,Weisshaar,male,75,,DE,00:00:00,03:21:00,03:21:00,06:21:00,06:23:00,07:58:00,07:58:00,11:48:00,11:48:00,"","","","","","","","","","","","","","","","","","","","",""
151,23,155,Kim,Love-Ottobre,female,49,OH,US,00:00:00,03:31:00,03:31:00,06:54:00,06:59:00,08:35:00,08:46:00,12:03:00,12:03:00,"","","","","","","","","","","","","","","","","","","","",""
152,129,119,Aaron,Denberg,male,49,WY,US,00:00:00,02:30:00,02:30:00,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
